Divide-by-zero Error,0 (0x0),Fault,#DE,No
Debug,1 (0x1),Trap,#DB,No
Non-maskable Interrupt,2 (0x2),NMI,-,No
Breakpoint,3 (0x3),Trap,#BP,No
Overflow,4 (0x4),Trap,#OF,No
Bound Range Exceeded,5 (0x5),Fault,#BR,No
Invalid Opcode,6 (0x6),Fault,#UD,No
Device Not Available,7 (0x7),Fault,#NM,No
Double Fault,8 (0x8),Abort,#DF,Yes (Zero)
Coprocessor Segment Overrun,9 (0x9),Fault,-,No
Invalid TSS,10 (0xA),Fault,#TS,Yes
Segment Not Present,11 (0xB),Fault,#NP,Yes
Stack-Segment Fault,12 (0xC),Fault,#SS,Yes
General Protection Fault,13 (0xD),Fault,#GP,Yes
Page Fault,14 (0xE),Fault,#PF,Yes
x87 Floating-Point Exception,16 (0x10),Fault,#MF,No
Alignment Check,17 (0x11),Fault,#AC,Yes
Machine Check,18 (0x12),Abort,#MC,No
SIMD Floating-Point Exception,19 (0x13),Fault,#XM/#XF,No
Virtualization Exception,20 (0x14),Fault,#VE,No
